CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro2-Anti1,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Source1,Source2,Source3,Misc.,TearGas,CountLove,AdHoc,Source4,Source5,Source6,Source7,Source8,Source9,,,,,,,,
Pepper Pike,Landerwood Plaza,,OH,US,2020-08-21,about 20,20,,20,,,general protesters,"protesting possible rezoning of the Beech Brook property for mixed-use development, for environmental protection",1,rally,0,0,0,0,1,,,https://www.cleveland.com/community/2020/08/group-that-opposes-beech-brook-rezoning-in-pepper-pike-hold-rally-to-put-out-their-message.html,,,,,,,,,,,,,,,,,,,,
Philadelphia,home of Philadelphia Housing Authority President/CEO Kelvin Jeremiah,,PA,US,2020-08-21,,,,,,,Philadelphia Housing Action,for housing rights,1,protest,,,,,1,1,,https://itsgoingdown.org/occupy-takeover-how-philadelphia-housing-action-turned-vacant-buildings-into-homes/,,,,,,,,,,,,,,,,,,,,
Pittsburgh,post office in Squirrel Hill,,PA,US,2020-08-21,,,,,,,general protesters,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,rally,0,0,0,0,1,1,,https://pittsburgh.cbslocal.com/2020/08/21/post-office-rally-pittsburgh/,,,,,,,,,,,,,,,,,,,,
Rockford,Shorewood Park,,IL,US,2020-08-21,,,,,,,general protesters,in support of law enforcement and first responders,2,boat parade,0,0,0,0,1,1,,https://www.wifr.com/2020/08/22/supporters-sail-down-rock-river-for-boat-the-blue-event-met-by-counter-protesters/,,,,,,,,,,,,,,,,,,,,
Rockford,Rockford City Market,,IL,US,2020-08-21,,,,,,,general protesters,Black Lives Matter,1,protest,0,0,0,0,0,1,,https://www.wifr.com/2020/08/22/supporters-sail-down-rock-river-for-boat-the-blue-event-met-by-counter-protesters/,,,,,,,,,,,,,,,,,,,,
Rosemont,near the conferences Rosemont headquarters,,IL,US,2020-08-21,,,,,,,parents,against postponment of the fall school sports season amid the covid pandemic,0,rally,0,0,0,0,1,1,,https://chicago.suntimes.com/2020/8/21/21396097/big-ten-athletes-parents-protest,,,,,,,,,,,,,,,,,,,,
Saint George,Woodward School Building,,UT,US,2020-08-21,"up to 1,000",1000,,1000,,,Liberty Action Coalition,"against coronavirus mask mandate for Utah schools, against tyranny, for freedom, you work for us",2,protest,,,,,1,1,,https://www.abc4.com/news/top-stories/no-more-masks-hundreds-attend-anti-mask-mandate-rally-in-st-george/,https://twitter.com/Jared_Carrabis/status/1305521504365535232,,,,,1,,,,,,,,,,,,,,
San Francisco,Golden Gate Bridge,,CA,US,2020-08-21,,,,,,,general protestors,antiracism; protest pandemic response,1,march,,,,,1,1,,https://sf.funcheap.com/san-francisco-march-dead/,"https://www.eventbrite.com/e/sf-march-for-the-dead-golden-gate-bridge-tickets-116385240387#:~:text=On%20Friday%2C%20August%2021%2C%20join%20us%20in%20a,iconic%20bridges%3A%20NYC%2C%20Brooklyn%20Bridge%3B%20Seattle%2C%20Montlake%20Bridge",,,,,1,,,,,,,,,,,,,,
San Francisco,San Francisco City Hall; Hall of Justice,,CA,US,2020-08-21,FB: 64,64,,64,,,Slash SFPD Stash - Guns & Cash,"for defunding police, in solidarity with Black Lives Matter, for abolishing ICE, in defense of Black trans lives, for justice for Breonna Taylor",1,march,,,,,1,1,,https://www.facebook.com/events/233072681179770,https://www.youtube.com/watch?v=CUdos9WceeQ,,,,,1,,,,,,,,,,,,,,
Seattle,Space Needle,,WA,US,2020-08-21,count video,30,,40,,,Morning March Seattle,"against racism, against police violence, for defunding police",1,march,,,,,1,1,,https://www.instagram.com/p/CEFj8cBJPzf/,https://www.instagram.com/p/CEKJXwPpylv/,https://www.instagram.com/p/CEKZcSEJKAB/,https://www.instagram.com/p/CELHCUwpW4q/,,,1,,,,,,,,,,,,,,
Seattle,,,WA,US,2020-08-21,,,,,,,Picket 4 Change Seattle,"against racism, against police violence, for defunding police, against Mayor Durkan, for immigrants' rights",1,picket,,,,,0,1,,https://www.instagram.com/p/CEKKdg5p9B9/,,,Day 32 [with gaps],,,1,,,,,,,,,,,,,,
Sherman Oaks,"Sherman Oaks Galleria, Sepulveda Blvd and Ventura Blvd",,CA,US,2020-08-21,,,,,,,The Valley of Change,"Black Lives Matter, against police brutality",1,demonstration,,,,,1,1,,https://twitter.com/ACatWithNews/status/1423588411227611136,,,,,,1,,,,,,,,,,,,,,
Statesville,Broad St & Center St,,NC,US,2020-08-21,,,,,,,Statesville4Change,"for removal of Confederate statue, Black Lives Matter",1,demonstration,,,,,1,1,,https://statesville.com/news/local/as-protests-near-100-days-elowehi-onole-said-there-is-no-plan-to-stop-in/article_5dd17c3a-fe66-11ea-a0e8-4b7d70be3639.html,,,,,,1,,,,,,,,,,,,,,
Summit,,,NJ,US,2020-08-21,,,,,,,Blue WAveNJ,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,protest,0,0,0,0,0,1,,https://www.nj.com/politics/2020/08/nj-residents-rally-across-state-to-save-our-mail-as-postmaster-general-promises-election-ballots-will-be-delivered-on-time.html,,,,0,1,,,,,,,,,,,,,,,
Toms River,Toms River post office,,NJ,US,2020-08-21,about 50,50,,50,,,Our Revolution NJ; NJ State Industrial Union Council ,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,rally,0,0,0,0,1,0,,https://www.app.com/story/news/politics/2020/08/21/nj-protestors-dont-mess-our-mail-our-votes/5603594002/,,,,,,,,,,,,,,,,,,,,
Troy,City of Troy Police Department,,NY,US,2020-08-21,50 or more,50,,50,,,Equality for Troy,in support of arrested housing activist Kenneth Zeoli,0,protest,0,0,0,0,1,1,,https://www.timesunion.com/news/article/Troy-protester-heads-to-hospital-after-arrest-15505294.php,,,,,,,,,,,,,,,,,,,,
Williamsville,Williamsville Central School District,,NY,US,2020-08-21,about a dozen,12,,12,,,general protesters,protesting the lack of leadership from school board about reopening school amid the covid pandemic,0,protest,0,0,0,0,1,1,,https://www.wivb.com/news/williamsville-central-school-district-parents-protest-lack-of-leadership-from-board-superintendent/,,,,,,,,,,,,,,,,,,,,
Wooster,Market St and Liberty St,Wayne,OH,US,2020-08-21,,,,,,,general protesters,"against racism, against police brutality",1,protest,,,,,1,1,,https://twitter.com/desireejweber/status/1357411129488769028,,,,,,1,,,,,,,,,,,,,,
Abilene,Everman Park,,TX,US,2020-08-22,count: FB,170,,170,,,general protesters,against child sex trafficking,0,march,,,,,1,1,,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,https://www.facebook.com/events/s/save-the-children/616395795975681/,,,,,1,,,,,,,,,,,,,,
Adrian,Lenawee Courthouse,,MI,US,2020-08-22,,,,,,,general protesters,against child sex trafficking,0,march,,,,,1,1,,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,,,1,,,,,,,,,,,,,,
Adrian,,,MI,US,2020-08-22,,,,,,,MoveOn,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,demonstration,,,,,0,1,,https://act.moveon.org/event/save-the-post-office-attend/,https://www.dailykos.com/stories/2020/8/19/1970591/-This-Saturday-August-22-join-a-local-rally-to-help-save-the-Postal-Service,,,,,1,,,,,,,,,,,,,,
Alamosa,,,CO,US,2020-08-22,,,,,,,MoveOn,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,demonstration,,,,,1,1,,https://act.moveon.org/event/save-the-post-office-attend/,https://www.dailykos.com/stories/2020/8/19/1970591/-This-Saturday-August-22-join-a-local-rally-to-help-save-the-Postal-Service,,Save the Post Office Saturday,,,1,,,,,,,,,,,,,,
Albany,New York State Capitol,,NY,US,2020-08-22,,,,,,,general protesters,against child sex trafficking,0,march,,,,,1,1,,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,,,1,,,,,,,,,,,,,,
Albany,,,NY,US,2020-08-22,,,,,,,MoveOn,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,demonstration,,,,,0,1,,https://act.moveon.org/event/save-the-post-office-attend/,https://www.dailykos.com/stories/2020/8/19/1970591/-This-Saturday-August-22-join-a-local-rally-to-help-save-the-Postal-Service,,Save the Post Office Saturday,,,1,,,,,,,,,,,,,,
Albany,Linn County Courthouse,,OR,US,2020-08-22,,,,,,,general protesters,against child sex trafficking,0,march,,,,,1,1,,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,,,1,,,,,,,,,,,,,,
Albany,,,OR,US,2020-08-22,,,,,,,MoveOn,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,demonstration,,,,,0,1,,https://act.moveon.org/event/save-the-post-office-attend/,https://www.dailykos.com/stories/2020/8/19/1970591/-This-Saturday-August-22-join-a-local-rally-to-help-save-the-Postal-Service,,Save the Post Office Saturday,,,1,,,,,,,,,,,,,,
Albert Lea,post office,,MN,US,2020-08-22,count video,24,,24,,,MoveOn,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,demonstration,,,,,1,1,,https://act.moveon.org/event/save-the-post-office-attend/,https://www.dailykos.com/stories/2020/8/19/1970591/-This-Saturday-August-22-join-a-local-rally-to-help-save-the-Postal-Service,https://www.kimt.com/content/news/Save-the-post-office-protest-take-place-in-Albert-Lea-572201371.html,Save the Post Office Saturday,,,1,,,,,,,,,,,,,,
Albuquerque,,,NM,US,2020-08-22,,,,,,,MoveOn,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,demonstration,,,,,1,1,,https://act.moveon.org/event/save-the-post-office-attend/,https://www.dailykos.com/stories/2020/8/19/1970591/-This-Saturday-August-22-join-a-local-rally-to-help-save-the-Postal-Service,,Save the Post Office Saturday,,,1,,,,,,,,,,,,,,
Alexandria,,,VA,US,2020-08-22,,,,,,,MoveOn,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,demonstration,,,,,1,1,,https://act.moveon.org/event/save-the-post-office-attend/,https://www.dailykos.com/stories/2020/8/19/1970591/-This-Saturday-August-22-join-a-local-rally-to-help-save-the-Postal-Service,https://www.heraldbulletin.com/news/local_news/30-some-rally-for-trump-in-alexandria/article_adfb9076-e4dd-11ea-b249-bf4ac2d95f5d.html,Save the Post Office Saturday,,,1,,,,,,,,,,,,,,
Alford,,,FL,US,2020-08-22,,,,,,,MoveOn,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,demonstration,,,,,1,1,,https://act.moveon.org/event/save-the-post-office-attend/,https://www.dailykos.com/stories/2020/8/19/1970591/-This-Saturday-August-22-join-a-local-rally-to-help-save-the-Postal-Service,,Save the Post Office Saturday,,,1,,,,,,,,,,,,,,
Alton,E. Fourth St. & East Broadway,,IL,US,2020-08-22,about 10,10,,10,,,Citizens Against Fast Eddie's,against racial discrimination at Fast Eddie's bar,1,protest,0,0,0,0,1,1,,https://www.thetelegraph.com/news/article/People-protest-popular-bar-Fast-Eddie-8217-s-15508876.php,,,0,1,,,,,,,,,,,,,,,,
Amarillo,Memorial Park,,TX,US,2020-08-22,,,,,,,general protesters,against child sex trafficking,0,march,,,,,1,1,,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,,,1,,,,,,,,,,,,,,
Ambler,,,PA,US,2020-08-22,,,,,,,MoveOn,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,demonstration,,,,,1,1,,https://act.moveon.org/event/save-the-post-office-attend/,https://www.dailykos.com/stories/2020/8/19/1970591/-This-Saturday-August-22-join-a-local-rally-to-help-save-the-Postal-Service,,Save the Post Office Saturday,,,1,,,,,,,,,,,,,,
Amenia,,,NY,US,2020-08-22,,,,,,,MoveOn,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,demonstration,,,,,1,1,,https://act.moveon.org/event/save-the-post-office-attend/,https://www.dailykos.com/stories/2020/8/19/1970591/-This-Saturday-August-22-join-a-local-rally-to-help-save-the-Postal-Service,,Save the Post Office Saturday,,,1,,,,,,,,,,,,,,
Amherst,,,OH,US,2020-08-22,,,,,,,MoveOn,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,demonstration,,,,,1,1,,https://act.moveon.org/event/save-the-post-office-attend/,https://www.dailykos.com/stories/2020/8/19/1970591/-This-Saturday-August-22-join-a-local-rally-to-help-save-the-Postal-Service,,Save the Post Office Saturday,,,1,,,,,,,,,,,,,,
Amherst,,,VA,US,2020-08-22,,,,,,,MoveOn,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,demonstration,,,,,1,1,,https://act.moveon.org/event/save-the-post-office-attend/,https://www.dailykos.com/stories/2020/8/19/1970591/-This-Saturday-August-22-join-a-local-rally-to-help-save-the-Postal-Service,,Save the Post Office Saturday,,,1,,,,,,,,,,,,,,
Anacortes,,,WA,US,2020-08-22,,,,,,,MoveOn,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,demonstration,,,,,1,1,,https://act.moveon.org/event/save-the-post-office-attend/,https://www.dailykos.com/stories/2020/8/19/1970591/-This-Saturday-August-22-join-a-local-rally-to-help-save-the-Postal-Service,,Save the Post Office Saturday,,,1,,,,,,,,,,,,,,
Anchorage,Midtown Mall,,AK,US,2020-08-22,,,,,,,general protesters,against child sex trafficking,0,march,,,,,1,1,,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,,,1,,,,,,,,,,,,,,
Andover,,,MA,US,2020-08-22,,,,,,,MoveOn,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,demonstration,,,,,1,1,,https://act.moveon.org/event/save-the-post-office-attend/,https://www.dailykos.com/stories/2020/8/19/1970591/-This-Saturday-August-22-join-a-local-rally-to-help-save-the-Postal-Service,,Save the Post Office Saturday,,,1,,,,,,,,,,,,,,
Angier,,,NC,US,2020-08-22,,,,,,,MoveOn,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,demonstration,,,,,1,1,,https://act.moveon.org/event/save-the-post-office-attend/,https://www.dailykos.com/stories/2020/8/19/1970591/-This-Saturday-August-22-join-a-local-rally-to-help-save-the-Postal-Service,,Save the Post Office Saturday,,,1,,,,,,,,,,,,,,
Ankeny,,,IA,US,2020-08-22,,,,,,,MoveOn,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,demonstration,,,,,1,1,,https://act.moveon.org/event/save-the-post-office-attend/,https://www.dailykos.com/stories/2020/8/19/1970591/-This-Saturday-August-22-join-a-local-rally-to-help-save-the-Postal-Service,,Save the Post Office Saturday,,,1,,,,,,,,,,,,,,
Ann Arbor,,,MI,US,2020-08-22,,,,,,,MoveOn,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,demonstration,,,,,1,1,,https://act.moveon.org/event/save-the-post-office-attend/,https://www.dailykos.com/stories/2020/8/19/1970591/-This-Saturday-August-22-join-a-local-rally-to-help-save-the-Postal-Service,,Save the Post Office Saturday,,,1,,,,,,,,,,,,,,
Annapolis,100 Main St,,MD,US,2020-08-22,count: FB,59,,59,,,general protesters,against child sex trafficking,0,march,,,,,1,1,,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,https://www.facebook.com/events/s/stop-the-traffic/601018680559996/,,,,,1,,,,,,,,,,,,,,
Antioch,,,IL,US,2020-08-22,,,,,,,MoveOn,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,demonstration,,,,,1,1,,https://act.moveon.org/event/save-the-post-office-attend/,https://www.dailykos.com/stories/2020/8/19/1970591/-This-Saturday-August-22-join-a-local-rally-to-help-save-the-Postal-Service,,Save the Post Office Saturday,,,1,,,,,,,,,,,,,,
Anza,,,CA,US,2020-08-22,,,,,,,MoveOn,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,demonstration,,,,,1,1,,https://act.moveon.org/event/save-the-post-office-attend/,https://www.dailykos.com/stories/2020/8/19/1970591/-This-Saturday-August-22-join-a-local-rally-to-help-save-the-Postal-Service,,Save the Post Office Saturday,,,1,,,,,,,,,,,,,,
Ardsley,,,NY,US,2020-08-22,,,,,,,MoveOn,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,demonstration,,,,,1,1,,https://act.moveon.org/event/save-the-post-office-attend/,https://www.dailykos.com/stories/2020/8/19/1970591/-This-Saturday-August-22-join-a-local-rally-to-help-save-the-Postal-Service,,Save the Post Office Saturday,,,1,,,,,,,,,,,,,,
Arlee,along Highway 933,,MT,US,2020-08-22,several dozen,24,,24,,,general protesters,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,protest,0,0,0,0,1,1,,https://helenair.com/news/state-and-regional/several-dozens-protesters-turns-out-in-arlee-to-call-for-protection-of-usps/article_7d229490-0fa9-5faf-bec9-1502ea41b92c.html,https://helenair.com/news/state-and-regional/several-dozen-protesters-turn-out-in-arlee-to-call-for-protection-of-usps/article_7d229490-0fa9-5faf-bec9-1502ea41b92c.html,,,0,1,,,,,,,,,,,,,,,
